Product_Name,Price,Discount,Category
Knol Khol (Loose),₹69.75,24% OFF,?q=vegetable&nc=as
Beans - Cluster (Loose),₹18,37% OFF,?q=vegetable&nc=as
Baby Potato (Loose),₹28.5,20% OFF,?q=vegetable&nc=as
"Mint Leaves - Cleaned, without roots",₹18.74,24% OFF,?q=vegetable&nc=as
Bitter Gourd - Forest (Loose),₹132.22,24% OFF,?q=vegetable&nc=as
"Papaya - Raw, Organically Grown (Loose)",₹61.37,20% OFF,?q=vegetable&nc=as
"Beans - French Ring, Organically Grown",₹44,53% OFF,?q=vegetable&nc=as
"Amaranthus - Green Cleaned, without roots",₹109.32,24% OFF,?q=vegetable&nc=as
Pure Ghee/Tuppa,₹699,13% OFF,?q=dairy&nc=as
GoodLife Toned Milk,₹28.2,6% OFF,?q=dairy&nc=as
Desi White Ghee,₹599,17% OFF,?q=dairy&nc=as
Pasteurised Toned Milk,₹44,19% OFF,?q=dairy&nc=as
Shubham Milk,₹50,4% OFF,?q=dairy&nc=as
Daily Health Toned Milk,₹31,₹8 OFF,?q=dairy&nc=as
Pure Cow Ghee,₹725,40% OFF,?q=dairy&nc=as
Curd,₹25,₹54 OFF,?q=dairy&nc=as
Badam Pista Shrikhand,₹120,17% OFF,?q=dairy&nc=as
Flavoured Milk - Pista,₹112,25% OFF,?q=dairy&nc=as
Processed Cheese Slices,₹208.99,6% OFF,?q=dairy&nc=as
Fruit & Nut Chocolate Bar,₹486.02,15% OFF,?q=dairy&nc=as
Fruit Yoghurt - Mango,₹175,₹15 OFF,?q=dairy&nc=as
Mishti Doi,₹140,6% OFF,?q=dairy&nc=as
Chocolate Bar,₹322.34,15% OFF,?q=dairy&nc=as
"Bites - Hazelnut, Roasted & Chocolate Coated",₹112.5,18% OFF,?q=dairy&nc=as
Chocolate Shots,₹28.2,16% OFF,?q=dairy&nc=as
Masti Buttermilk - Spice,₹140,₹27 OFF,?q=dairy&nc=as
Dairy Cream,₹48.23,24% OFF,?q=dairy&nc=as
Paneer - Rich In Calcium,₹222.32,₹39 OFF,?q=dairy&nc=as
Everyday Dairy Whitener - Milk Powder For Tea,₹28.2,11% OFF,?q=dairy&nc=as
Tofu,₹84,11% OFF,?q=dairy&nc=as
Butter - Pasteurized,₹550,27% OFF,?q=dairy&nc=as
