Product_Name,Price,Discount,Category
"Prime Tea Strainer No - 2/4 - Stainless Steel, Drains Beverages",109.0,0.0,beverages
Instant Energy Nutrition Drink - Tangy Orange,351.0,0.0,beverages
"Energy Drink - Caffeinated Beverage, Rich In Vitamin B, Berry Blast",54.0,0.0,beverages
Plant-Based Almond & Coconut Beverage - Unsweetened,600.0,0.0,beverages
"Non-Alcoholic Beer Bottle - Malt Beverage, Strawberry Flavour",120.0,0.0,beverages
Zero Sugar Mojito Non-Alcoholic Beverage Cocktail Mixer,99.0,0.0,beverages
"Passion Fruit Kombucha - Gluten Free, No Artificial Flavours, Perfect Post Workout Beverage",150.0,0.0,beverages
Non Alcoholic Beverage - Used To Mix Mocktails,425.0,0.0,beverages
"Sparkling Beverage - Ginger Ale, Finely Crafted, Natural Flavour",480.0,0.0,beverages
Nutritional Beverage Mix - Elaichi Flavour,245.0,0.0,beverages
"Strawberry Kombucha - Gluten Free, No Artificial Flavours, Perfect Post Workout Beverage",150.0,0.0,beverages
Non-Alcoholic Beer Bottle - Malt Flavour,120.0,0.0,beverages
"Coconut Drink - Real Fruit Juice, Ready To Serve Beverage, Coco Litchi",40.0,0.0,beverages
"Ginger Kombucha - Gluten Free, No Artificial Flavours, Perfect Post Workout Beverage",150.0,0.0,beverages
Fruit Beverage - Ready To Serve,24.0,0.0,beverages
"Max Tea Stainless Steel Strainers - Durable, For Straining Beverages",295.3610248447205,0.0,beverages
"Organic Basil Seeds - Premium Quality, For Desserts, Beverages",295.3610248447205,0.0,beverages
Soya Sticks,40.0,11.0,snacks
Butter Murukku,28.0,6.0,snacks
Namkeen - Khatta Meetha,56.0,6.0,snacks
Moong Dal Namkeen,541.0,29.0,snacks
Madras Mixture,220.0,24.0,snacks
Namkeen - Mini Bhakarwadi,130.0,37.0,snacks
Namkeen - Kodubale,65.0,10.0,snacks
Ribbon Pakoda,65.0,34.0,snacks
Salted Peanuts,265.0,73.0,snacks
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",145.0,9.0,snacks
Kerala Rice Murukku,79.0,73.0,snacks
Namkeen - Mixture,54.0,18.0,snacks
Namkeen - Masala Kaju,100.0,44.0,snacks
Namkeen - Tasty Nuts,165.0,3.0,snacks
Butter Murukku,69.0,25.0,snacks
Chaat Papdi - Crispy,58.0,15.0,snacks
Bhujia Sev,145.0,20.0,snacks
Khara Boondi,65.0,39.0,snacks
Shankarpali Sweet - Mithai,29.0,22.0,snacks
Khatta Meetha,120.0,37.0,snacks
Aloo Bhujia,235.0,21.0,snacks
Tamil Nadu Madras Mixture,59.0,22.0,snacks
Namkeen - Lite Chiwda,180.0,39.0,snacks
Murukku,65.0,39.0,snacks
Cream & Onion Super Snack,97.0,15.0,snacks
Nacho Chips - Nacho Cheese Flavour,112.0,0.0,snacks
West Indies Hot N Sweet Potato Chips - Crispy Chips & Snacks,85.0,0.0,snacks
Tasty Peanuts - Spice Coated,117.0,0.0,snacks
Gujarati Besan Papdi,67.0,0.0,snacks
Namkeen - Tasty Nuts Spiced Coated Fried Peanuts,95.0,0.0,snacks
Mad Angles Tomato Madness Triangle Chips,46.0,0.0,snacks
Bombay Mixture,55.0,0.0,snacks
"Chegodi, Telugu Speciality Snacks",69.0,0.0,snacks
"Bakarwadi, Maharashtra Snack",99.0,0.0,snacks
All In One Mixture,114.0,0.0,snacks
"Bakes Twisties - Cheese & Herbs Flavour, Crunchy Snacks",50.0,0.0,snacks
Phalhari Chiwda Namkeen,50.0,0.0,snacks
Quinoa Puffs - Onion Masala,76.0,0.0,snacks
Ragi Sticks - Achari Masala,76.0,0.0,snacks
"Snappers Potato Crackers - Cream & Onion, Light, Crispy Snack",135.0,0.0,snacks
Soya Sticks,40.0,11.0,snacks
Butter Murukku,28.0,6.0,snacks
Namkeen - Khatta Meetha,56.0,6.0,snacks
Moong Dal Namkeen,541.0,29.0,snacks
Madras Mixture,220.0,24.0,snacks
Namkeen - Mini Bhakarwadi,130.0,37.0,snacks
Namkeen - Kodubale,65.0,10.0,snacks
Ribbon Pakoda,65.0,34.0,snacks
Salted Peanuts,265.0,73.0,snacks
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",145.0,9.0,snacks
Kerala Rice Murukku,79.0,73.0,snacks
Namkeen - Mixture,54.0,18.0,snacks
Namkeen - Masala Kaju,100.0,44.0,snacks
Namkeen - Tasty Nuts,165.0,3.0,snacks
Butter Murukku,69.0,25.0,snacks
